PCT_PPL_NO_HLTH_INSURANCE,OPIOID_SCRIPTS_100,SUBSTANCE_ABUSE_FACILITIES,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE,HS_LESS_PERCENT,RISK
13,47.8,6,1364.757846,129.4018185,1381.148743,4.7,50106,20.4,13.9,0.064140168,high
11.1,37.4,1,1366.1356,75.06239562,1398.037118,5,48338,20.1,14.1,0.048996979,high
9.1,77.2,2,3273.372375,387.2346108,3296.263091,5.8,43602,24.9,18,0.046344162,high
10.9,45.5,1,2267.696394,116.4182531,2270.975782,4.6,50914,19.9,14.8,0.039106695,high
10.7,45.6,4,696.8455769,29.78881855,718.1233044,5,72264,11.5,7.8,0.043183148,high
4,33.6,1,358.6231224,41.15347306,346.8649872,3.9,60036,8.7,7.2,0.024545107,high
4,33.6,1,358.8868624,41.18373831,347.12008,3.7,61069,9.5,8.3,0.024563158,high
5.2,66.1,2,1007.004221,75.46635851,1030.587458,5.9,54666,14.8,10.5,0.035068273,high
7.6,67.2,5,2171.407776,92.49711894,2197.185661,6.2,38400,29.1,31.5,0.038257415,high
7,61.3,1,1256.318398,83.42739363,1278.40212,6.6,58793,15.3,9.7,0.028757913,high
5.6,41.3,1,1360.176774,95.75251657,1399.459858,3.8,52606,11.7,8.9,0.020770931,high
5.6,41.3,1,397.9073023,34.38705082,417.5570457,3.3,57577,10.3,8.2,0.020779604,high
7.6,67.2,5,1804.625027,97.25524098,1827.781037,6.9,34216,31.4,29.9,0.038948408,high
5.7,43.2,3,1240.567205,75.38504361,1247.912414,5.2,54996,12.3,13.5,0.020164533,high
6.4,57.6,0,595.7523398,43.19654428,626.349892,3.8,78796,7.2,6.1,0.03612311,high
10.3,57,1,464.037123,193.3488012,496.2619232,6.1,42582,25.6,16.9,0.053557618,high
10.9,48.8,2,1061.351281,94.91759427,1108.810079,8.2,38479,31.3,22.8,0.07291397,high
9.2,73.3,5,2258.766941,139.7510481,2338.392538,6.7,41608,27.4,17.5,0.061571712,high
5.7,43.2,3,1199.705819,84.2705237,1193.577054,4.4,61774,9.5,10.8,0.019979775,high
5.5,43.6,1,960.8875106,50.22821078,963.0713459,3.7,63336,11.5,8.7,0.023388876,high
8.6,102.7,0,1057.255725,90.15358893,1093.31716,6,44697,21.5,15,0.036782664,high
10.9,45.5,1,1968.981573,111.4827202,1962.423765,5.3,46908,21.4,15.1,0.039100925,high
10.9,45.5,1,1990.245825,93.60066998,1990.245825,4.6,53375,17.5,12.7,0.039164491,high
8.2,56.7,7,2434.144124,103.8819995,2497.889897,5.3,57308,20.6,13.5,0.041812505,high
7.4,41.7,0,870.1957941,81.58085569,824.8730964,3.7,47527,10.5,8.8,0.040110587,high
11.1,39,1,1048.831983,231.5603078,1021.589593,6.7,41375,27.3,20.5,0.054689096,high
10.7,78,5,1415.898417,100.8871108,1443.729344,6.5,42374,26.1,17.5,0.04592103,high
11.3,90.1,4,1690.501105,102.3136845,1757.935124,6.3,44729,28.4,19.8,0.069945355,high
4.1,48.1,5,1272.052737,93.74594848,1283.023008,3.5,107676,5.3,4.8,0.012989798,medium
7.6,61.6,3,2432.01298,123.4524355,2509.611654,5.7,54868,19,13.2,0.055236147,medium
8.2,56.2,2,1909.501624,141.1831145,1902.442468,4.9,49565,14.8,10.1,0.031024989,medium
5.2,66.1,2,1239.03431,82.75992528,1269.773711,4.9,58782,12.4,8.5,0.035161145,medium
5.7,60,1,2253.135597,112.3503697,2265.392001,5.1,50774,16,10.7,0.040895535,medium
10.3,37.5,1,344.0860215,50.17921147,365.5913978,8.3,44868,24.2,15.2,0.047670251,medium
7.1,54.3,0,2234.473597,114.2477582,2258.385918,4.5,51498,18.2,12.7,0.030860179,medium
6.6,62.5,3,2256.052825,170.3175768,2286.841002,4.3,65198,13,9.7,0.035930458,medium
8.8,85,2,3031.076659,174.0664237,3158.72537,6.2,43324,26.7,16.5,0.054935363,medium
11,64.5,4,879.049676,42.11663067,916.8466523,5.8,50273,16.6,12.7,0.061112311,medium
10,19.7,1,1106.785742,106.8620716,1144.950767,6.8,40927,29,19.8,0.094114953,medium
5.9,50.1,4,841.318861,49.95685544,837.9127117,4.1,70576,8.8,7,0.023950906,medium
10,19.7,1,1013.747024,168.9578373,1036.786729,7.1,41522,31.8,20.8,0.094693188,medium
6.9,61,2,1984.544684,133.5010654,2035.891248,4.4,58837,16.2,10.8,0.038895022,medium
9.1,70.8,2,1675.015654,114.7985807,1688.060948,4.9,53936,16.2,10.2,0.039031517,medium
7.4,76.7,18,2661.856137,290.4956532,2696.736916,5.8,47745,21.6,14.9,0.038730979,medium
9.1,70.8,2,1250.131041,123.1785302,1263.23514,4.9,52210,15.1,10.4,0.039207464,medium
7.4,76.7,18,2426.67663,327.4532305,2448.827093,5.3,48976,20.2,13.4,0.038819354,medium
8,31.2,1,948.6665964,26.3518499,943.3962264,5.5,47358,18.1,12.3,0.043322441,medium
10.2,59.4,45,3517.404142,406.5313069,3587.648876,4.9,53164,24.6,17.3,0.047205269,medium
8.4,63.2,1,1661.076867,97.44379985,1715.464104,4,63736,14,9.3,0.067258883,medium
8.4,63.2,1,1702.969397,68.20972216,1741.621572,4.8,52996,17.1,12.6,0.067482152,medium
8,31.2,1,589.234526,47.77577237,562.6924302,4.4,52534,15.6,10.2,0.043635205,medium
10.7,45.6,4,417.3364988,25.55121421,426.9182042,4.2,76315,8.8,6.7,0.043213491,medium
6.8,61.2,2,1134.137355,149.1813002,1094.595323,4.8,48617,19.8,13.6,0.03377249,medium
5.7,43.2,3,1265.715518,65.48132627,1286.515469,4.2,60347,10.9,11.4,0.020091212,medium
5.7,60,1,2284.605962,102.0824826,2302.980808,4.3,59149,13.6,8.9,0.040873826,medium
7.9,60.2,1,2325.089833,142.1955766,2344.305451,4.4,51685,14,10.7,0.039353587,medium
12.9,69.4,1,1295.322598,109.5410231,1267.937343,6.8,44471,23.9,15.7,0.074104502,medium
9.7,69.5,1,1024.971529,88.88641982,1044.415433,6.4,47543,23.9,17,0.061526069,medium
9.7,69.5,1,641.7736289,75.01250208,647.3301106,6,51702,24.9,15.7,0.061538034,medium
8.2,56.7,7,1546.198392,102.5719176,1593.088411,4.4,59119,17.4,12.6,0.041521112,medium
5.7,43.2,3,1240.855026,75.40253353,1248.20194,4.3,57390,10.9,11.7,0.020169211,medium
5.6,41.3,1,444.8790027,24.44390125,447.3233928,3.1,60055,9.7,6.9,0.02067954,medium
9.3,82.8,1,919.0672154,27.43484225,922.4965706,6.6,48838,20.7,13.1,0.054372428,medium
8.9,45.1,1,933.0013451,51.51541169,964.4829856,6,49846,21.1,12.1,0.052860536,medium
8.9,45.1,1,74.43245255,5.725573273,77.29523919,5.1,52953,19.4,12.2,0.052875669,medium
10.9,48.8,2,1241.515594,124.5811496,1310.250021,9,38081,32.7,22.6,0.072600739,medium
7.1,54.3,0,1798.109341,126.9253652,1788.854366,3.7,55265,14.6,10.6,0.030713294,medium
13,47.8,6,1483.909262,169.4667389,1459.822619,3.9,56172,17.4,12.9,0.06395864,medium
7,61.3,1,1077.968104,73.83343178,1112.423705,6.7,55968,12.9,8.9,0.028844261,medium
9.1,77.2,2,3282.437614,384.3603763,3309.34284,4.9,49297,23.4,15.5,0.046690177,medium
10.9,48.8,2,875.1787184,108.3141978,918.5043976,8.1,42200,32.2,19.9,0.073220398,medium
7.6,61.6,3,2712.61383,135.1043111,2805.607706,4.8,58472,17.6,12.4,0.054954117,medium
6.4,57.6,0,950.7544413,73.94756765,950.7544413,3.7,86609,5.9,5.2,0.035336373,medium
10.7,78,5,2036.07158,102.1558405,2117.091729,5.6,47799,22.4,14.5,0.046498521,medium
11.6,93.6,4,1165.707019,67.11646473,1204.56392,9.1,40512,32.7,21.9,0.088028542,medium
10.6,72.1,2,2096.496267,110.4581805,2142.888702,4.2,49690,17.3,10.9,0.040538152,medium
9.8,66.2,5,539.6756265,39.76557248,544.4096233,6.5,42645,23.5,15.9,0.055482442,medium
11.6,36,0,104.6251533,7.215527816,108.2329172,6,52166,20,13,0.046973086,medium
5.1,54.9,4,1143.665332,66.4238656,1175.747607,5,72973,7.5,5.8,0.028512557,medium
7.4,41.7,0,770.1019253,63.42015855,792.7519819,3.7,55590,11.3,8.6,0.0400906,medium
9.1,70.8,2,1570.44959,103.8313778,1565.258021,5.5,53026,18.1,11.7,0.038832935,medium
7.9,60.2,1,2657.858498,97.26221315,2703.119132,5.4,51868,15.7,10.6,0.039444161,medium
6.4,49.7,2,1323.896142,113.6863723,1323.896142,5.3,57752,11.3,8.3,0.026954672,medium
7.5,50.6,7,1594.863935,104.6417865,1615.176752,5.9,52047,18.2,14.2,0.02983522,medium
5.1,54.9,4,1260.3841,66.54756588,1305.493524,4.2,81383,6.6,5.2,0.028182224,medium
8.3,76.6,0,2513.661202,133.04823,2537.419815,6,44336,22.1,13.9,0.041007365,medium
8.8,57.1,1,908.5213033,53.01715828,959.1285907,5.7,49516,19.9,13,0.040991903,medium
9.7,69.5,1,1045.257422,94.51795841,1075.836762,6.5,44738,25.9,18.8,0.06157567,medium
8.6,102.7,0,869.96337,75.22239665,902.6687598,6.4,45048,21.2,15.7,0.036695447,medium
5.5,43.6,1,1044.557593,52.44640633,1057.669194,3.7,58840,11.5,8.7,0.023404209,medium
12.1,68.7,2,3332.020222,151.007813,3341.868558,7.7,36675,37.9,26.1,0.080066969,medium
6.8,61.2,2,1039.389269,112.8991792,1028.636966,5.8,45003,25.6,17.5,0.033672628,medium
6.9,60.7,2,2087.04719,84.08731627,2073.593219,4.8,49994,18.3,12.2,0.03984057,medium
8.5,75.8,7,862.1808273,100.9241771,880.9238888,6.7,41983,24.5,16.1,0.043930853,medium
8.2,50.1,49,2473.317539,478.99006,2566.883272,6.2,44138,30,19.6,0.047151747,medium
7.8,77.6,11,3087.977582,274.2202932,3219.08916,6.7,41316,28.7,18.9,0.038433688,medium
6.9,59.6,10,1132.932987,87.75319088,1137.844546,5.6,52779,20.9,13.5,0.045454843,medium
13,47.8,6,1307.639367,106.6758431,1345.492085,3.9,52717,16.9,11.3,0.063962491,medium
8.1,93.4,3,1939.020929,135.9406044,1927.070107,8.4,43558,24,16.3,0.038735603,medium
11.3,90.1,4,1797.355187,90.79903148,1855.559695,6.4,41494,27.6,17.9,0.070031663,medium
7.7,43.8,0,1165.152735,113.0658081,1186.232801,5.3,46610,17,12.2,0.038940631,medium
8.3,76.6,0,2476.064708,129.6986276,2487.855492,6.7,39881,24.7,15.4,0.040701787,medium
11,58.7,5,1253.405441,103.6880413,1287.968121,6,44258,28.6,18.6,0.067996991,medium
9.8,112.5,2,1734.264014,172.1964269,1771.163248,7.9,45168,27.2,18.1,0.070631284,medium
6.9,60.7,2,2139.502231,78.55984756,2159.560065,5.7,46447,21.2,14.5,0.039597506,medium
6.7,61.4,9,1258.058622,156.6048078,1272.849076,4.5,60782,12.6,8.3,0.0325651,medium
7.9,61.8,23,2743.233627,308.4086996,2789.872839,5.9,50453,20.3,13.4,0.038690268,medium
6.4,49.7,2,1536.221332,101.9293775,1572.624681,5.6,56986,13.9,9.4,0.026756462,medium
8.2,50.1,49,2035.946599,437.040232,2084.321281,5.2,45506,26.2,18.2,0.047315046,medium
11.6,36,0,73.15021396,3.657510698,73.15021396,5.8,51296,19.9,13,0.047620789,medium
7.5,50.6,7,1477.108508,89.78261538,1493.097193,4.9,53609,16.1,13.6,0.029806598,medium
10.2,59.4,45,3177.840757,403.3232821,3250.442129,4.1,53939,24.5,17.1,0.046491119,medium
10.6,59.8,0,1922.281277,92.29496197,1960.472296,5,46969,17.2,13.3,0.040991693,medium
8.2,73,2,2428.311394,120.0306012,2445.458622,6.4,49234,22.3,13.9,0.031775134,medium
9.7,84.2,3,1587.341581,133.53826,1612.537479,6.7,41940,26.4,17.2,0.077326211,medium
10,19.7,1,1173.264704,121.1111952,1211.111952,8,37633,36.3,23.7,0.093331315,medium
9.7,84.2,3,860.7119281,68.55227746,898.7965267,6.2,41630,28.7,18.6,0.077921089,medium
6.7,61.4,9,814.7977361,123.1114572,822.193124,5.5,58697,13.4,8.9,0.032565808,medium
8.6,102.7,0,767.4241672,56.23366743,785.6174126,6.2,46417,20.8,14.6,0.037114221,medium
5.9,50.1,4,664.2133171,46.35361021,673.2579239,4.4,73148,8.1,6.5,0.023849498,medium
6.9,59.6,10,1398.208638,111.6727594,1400.179333,6.4,52331,21.7,14.7,0.045595331,medium
5.9,50.1,4,673.2495512,40.39497307,660.3456014,4.7,72926,7.6,6,0.023670332,medium
8.2,56.7,7,1965.221397,117.4641562,2071.745264,4.2,62658,12.4,8.9,0.040790004,medium
8.3,76.6,0,2823.724008,144.1398866,2828.449905,5.8,41471,24.4,16.5,0.040784499,medium
5.2,66.1,2,1255.556606,82.75796841,1281.566254,4.7,56504,11.7,8.9,0.035160314,medium
8.1,93.4,3,365.985568,62.23236379,368.9490139,7.4,43306,28.5,17.8,0.038421076,medium
11,64.5,4,732.5967688,61.68096872,746.6643581,5,51408,17.4,12.8,0.061237299,medium
7.5,50.6,7,1569.25442,84.24289008,1563.105304,5,59490,13.9,11.8,0.029804766,medium
6.4,62.1,4,2229.697728,110.5133405,2256.415239,5.3,59382,18.1,13.2,0.0294682,medium
6.6,44,1,425.0595625,46.02555772,457.5481915,4.5,50770,14.3,9.7,0.043643058,medium
8.8,85,2,2417.931931,189.2092678,2471.328412,5.6,44884,21.5,14.8,0.054951943,medium
9.8,112.5,2,2337.503814,112.9081477,2487.030821,8.8,41161,30.2,20,0.070094599,medium
10.1,85.6,3,3883.732291,212.8550492,3925.605416,4.4,44257,23,16,0.056982343,medium
7.4,76.7,18,2397.621998,316.0636105,2329.894081,5.2,51214,22.3,14.3,0.039094058,medium
10.9,45.5,1,1844.934179,135.3930476,1782.947001,4.5,52061,16.2,10.7,0.038905111,medium
10.2,59.4,45,3289.946492,381.9297337,3409.515291,4.1,56090,23.9,16.6,0.045870012,medium
11.6,93.6,4,1417.333995,88.58337467,1530.720714,7.5,42869,29.7,20.5,0.088299908,medium
7.7,43.8,0,808.1119043,82.73526639,842.7452716,4.3,51131,15.2,9.6,0.039097224,medium
