COUNTY,YEAR,County_ID,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,OVERDOSE_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE
CLINTON COUNTY,2017,14,2006.386122,100.081018,2015.917648,71.4864414,5.5,50794,20,13
COLUMBIANA COUNTY,2014,15,539.6756265,39.76557248,544.4096233,17.98918755,6.5,42645,23.5,15.9
COLUMBIANA COUNTY,2015,15,574.7894666,50.60438826,588.1566635,28.64399335,5.9,42301,22.3,14.7
COLUMBIANA COUNTY,2016,15,535.3875782,36.59123736,541.165142,37.55416466,6.7,46873,26.5,17.2
COLUMBIANA COUNTY,2017,15,601.0722353,47.50409602,583.6217511,46.53462467,5.9,43123,23.7,15.1
COSHOCTON COUNTY,2014,16,4295.217498,150.5653043,4352.706069,5.475101974,7.6,41547,27.4,18.1
COSHOCTON COUNTY,2015,16,1216.578271,103.8875827,1260.320411,8.201651266,6.4,41643,23.4,15.1
COSHOCTON COUNTY,2016,16,1376.447455,114.7039546,1425.606292,10.92418615,7.1,45777,20.7,12.7
COSHOCTON COUNTY,2017,16,1295.322598,109.5410231,1267.937343,16.43115347,6.8,44471,23.9,15.7
CRAWFORD COUNTY,2014,17,2476.064708,129.6986276,2487.855492,21.22341178,6.7,39881,24.7,15.4
CRAWFORD COUNTY,2015,17,2823.724008,144.1398866,2828.449905,23.6294896,5.8,41471,24.4,16.5
CRAWFORD COUNTY,2016,17,2513.661202,133.04823,2537.419815,19.00689,6,44336,22.1,13.9
CRAWFORD COUNTY,2017,17,2151.36197,117.3905752,2156.153422,40.72734242,5.7,45395,25.3,15.5
CUYAHOGA COUNTY,2014,18,2473.317539,478.99006,2566.883272,20.18550079,6.2,44138,30,19.6
CUYAHOGA COUNTY,2015,18,2035.946599,437.040232,2084.321281,21.8440683,5.2,45506,26.2,18.2
CUYAHOGA COUNTY,2016,18,2409.042139,592.9140474,2540.650244,43.60365474,5.6,46703,26.4,18.3
CUYAHOGA COUNTY,2017,18,2288.742689,572.105568,2379.741279,47.90242644,5.8,46918,27.1,18.1
DARKE COUNTY,2014,19,1165.152735,113.0658081,1186.232801,21.08006592,5.3,46610,17,12.2
DARKE COUNTY,2015,19,808.1119043,82.73526639,842.7452716,25.01298751,4.3,51131,15.2,9.6
DARKE COUNTY,2016,19,678.1105901,96.87294145,711.0473902,36.81171775,4.1,52771,14.8,10.7
DARKE COUNTY,2017,19,554.5107315,93.06473816,540.9387905,54.28776393,4.2,53954,12.5,9.2
DEFIANCE COUNTY,2014,20,1570.44959,103.8313778,1565.258021,18.17049112,5.5,53026,18.1,11.7
DEFIANCE COUNTY,2015,20,1675.015654,114.7985807,1688.060948,15.65435191,4.9,53936,16.2,10.2
DEFIANCE COUNTY,2016,20,1250.131041,123.1785302,1263.23514,15.72491875,4.9,52210,15.1,10.4
DEFIANCE COUNTY,2017,20,1538.300544,102.0301381,1567.078275,7.848472164,4.8,59538,14.5,9.5
